iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,P_HTHAB,UKC-L	: 	: 	: 	1.14 	1.20 	1.16 	0.95 	0.89 	0.92 	0.97 	0.94 	1.14 	1.08 	1.17 
ICCS0101,P_HTHAB,UKM	: 	: 	: 	1.10 	1.09 	1.15 	1.10 	1.16 	1.15 	1.19 	1.76 	1.91 	1.61 	1.83 
ICCS0101,P_HTHAB,UKN	: 	: 	: 	1.23 	1.29 	0.97 	1.30 	0.93 	1.09 	1.15 	1.27 	1.28 	1.62 	1.36 
ICCS0101,P_HTHAB,XK	: 	1.57 	1.28 	2.39 	1.85 	1.64 	: 	: 	: 	: 	3.46 	4.80 	3.35 	5.25 
ICCS0102,NR,AL	101 	114 	93 	114 	129 	132 	138 	181 	206 	220 	214 	211 	231 	242 
ICCS0102,NR,AT	121 	133 	171 	131 	151 	99 	96 	70 	105 	109 	105 	112 	102 	58 
ICCS0102,NR,BA	64 	67 	62 	14 	59 	60 	54 	70 	59 	47 	50 	67 	: 	92 
ICCS0102,NR,BE	1033 	1005 	1018 	1027 	971 	881 	880 	849 	809 	836 	858 	762 	746 	682 
ICCS0102,NR,BG	28 	32 	38 	46 	31 	76 	33 	46 	67 	45 	61 	62 	66 	60 
ICCS0102,NR,CH	184 	206 	161 	149 	191 	187 	141 	132 	152 	184 	184 	187 	185 	111 
ICCS0102,NR,CY	13 	16 	15 	8 	10 	7 	11 	10 	8 	12 	13 	11 	19 	13 
ICCS0102,NR,CZ	59 	68 	62 	43 	45 	71 	67 	79 	92 	93 	90 	68 	76 	89 
ICCS0102,NR,DE	1551 	1773 	1807 	1927 	1722 	1757 	1551 	1625 	1591 	1588 	1560 	1617 	1649 	1610 
ICCS0102,NR,DK	133 	151 	149 	209 	212 	194 	141 	148 	165 	142 	148 	152 	208 	197 
ICCS0102,NR,EE	9 	13 	11 	18 	16 	11 	17 	14 	10 	17 	35 	14 	25 	20 
